seqid	len	gc	cov_/workspace/cflcyd/blobology/LsA2v1_scaffolds.fasta.clean.Manuka_Nuclear_gDNA_C3R0AACXX_GCCAAT_L003.bowtie2.bam	cov_/workspace/cflcyd/blobology/LsA2v1_scaffolds.fasta.clean.Manuka_Nuclear_gDNA_C3R0AACXX_GCCAAT_L004.bowtie2.bam	taxlevel_species	taxlevel_genus	taxlevel_order	taxlevel_phylum	taxlevel_superkingdom
LsA2v1_scaffold7270	2523	0.518034086405073	9.52556480380501	9.88347205707492	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold8710	1433	0.528262386601535	5.4221912072575	4.8569434752268	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5391	5803	0.391004652765811	41.7241082198871	43.8635188695514	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold10144	1179	0.494486853265479	5.4715860899067	4.97285835453775	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold1903	67916	0.500966377710163	6.80745332469508	6.86464161611388	Capronia coronata	Capronia	Chaetothyriales	Ascomycota	Eukaryota
LsA2v1_scaffold10802	1109	0.551848512173129	17.2723174030658	22.263300270514	Cyphellophora europaea	Cyphellophora	Chaetothyriales	Ascomycota	Eukaryota
LsA2v1_scaffold5160	6485	0.42000452591084	489.043947571247	493.312259059292	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5028	6670	0.65352323838081	7.51259370314847	6.6425787106447	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold8101	1658	0.530759951749095	4.35283474065139	5.07720144752714	Phanerochaete carnosa	Phanerochaete	Polyporales	Basidiomycota	Eukaryota
LsA2v1_scaffold3733	12102	0.515722049689441	2.05899851264255	2.40993224260453	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold3109	17260	0.670220162224797	7.99026651216666	7.77809965237524	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold1349	122757	0.378845245760893	58.2582989157227	59.2374772925138	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold6220	3990	0.650125313283208	8.94912280701756	8.39197994987471	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold225	274897	0.386938230330563	343.455617921576	345.368712644301	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold6562	3506	0.559326868225898	7.04078722190529	6.29235596120934	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold8737	1426	0.422159887798036	610.258064516139	616.228611500709	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold10807	1108	0.461191335740072	15.3005415162455	14.1624548736462	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold10006	1199	0.543786488740617	5.23185988323603	4.69391159299417	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold7280	2504	0.463658146964856	5.14017571884984	5.57747603833866	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold10800	1109	0.515779981965735	3.58791704238053	4.38142470694319	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold3168	16610	0.401085281704294	51.8132450331076	53.5632149307595	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold8212	1605	0.365109034267913	39.9700934579439	34.6274143302182	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5643	5159	0.53474762253109	2.59158751696065	2.22368676100019	Sporisorium reilianum	Sporisorium	Ustilaginales	Basidiomycota	Eukaryota
LsA2v1_scaffold4748	7547	0.416456870279581	37.0035775804964	36.886842453956	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold451	187252	0.546022472401834	11.9032907525736	12.0057676286551	Neofusicoccum parvum	Neofusicoccum	Botryosphaeriales	Ascomycota	Eukaryota
LsA2v1_scaffold12458	963	0.336448598130841	55.2315680166145	53.1277258566975	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold4104	10101	0.501516683518706	3.05148005148004	2.92426492426492	Exophiala dermatitidis	Exophiala	Chaetothyriales	Ascomycota	Eukaryota
LsA2v1_scaffold6122	4158	0.697210197210197	6.62313612313613	7.77705627705629	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold5550	5400	0.710763078973675	10.1322222222222	10.5805555555556	Methylobacterium populi	Methylobacterium	Rhizobiales	Proteobacteria	Bacteria
LsA2v1_scaffold3456	15543	0.41221128482275	40.0259924081584	39.6557292671946	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold11373	1055	0.571563981042654	3.41232227488152	5.33838862559241	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold1070	155708	0.38421444527178	68.9019639326105	68.8845980939892	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold8364	1545	0.541747572815534	4.83948220064725	4.40582524271845	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5626	5195	0.613977666538313	3.9851780558229	4.75707410972089	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold11871	1016	0.492125984251969	5.10629921259842	4.03248031496063	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold7	1344520	0.534123377276844	5.36566507006161	5.37630009222564	Neofusicoccum parvum	Neofusicoccum	Botryosphaeriales	Ascomycota	Eukaryota
LsA2v1_scaffold661	149027	0.394354167740415	57.055701315954	57.1120535205886	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold5398	5798	0.347188685753708	50.583477061057	49.917902725079	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold1340	71153	0.377685058628876	44.2538192345951	45.458645454148	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold3067	17864	0.655844155844156	7.56040080609042	7.66160994178231	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold1123	85314	0.471045902457278	4.27448015566011	4.27063553461316	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold11896	1014	0.53353057199211	3.12721893491124	4.01282051282051	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold11869	1016	0.334645669291339	4.51377952755905	5.37992125984252	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold12172	993	0.711983887210473	7.03222557905338	8.18429003021149	Methylobacterium aquaticum	Methylobacterium	Rhizobiales	Proteobacteria	Bacteria
LsA2v1_scaffold6491	3624	0.419621026894866	172.290011037515	172.703642384093	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold132	417631	0.397837694085879	59.2580076672059	59.7121454108138	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold3646	12728	0.506607929515419	11.7045883092393	12.2617850408547	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold6227	3988	0.515425131677953	10.1915747241726	9.7156469408225	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold6735	3258	0.370165745856354	30.6789441375073	31.2252915899321	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold6116	4177	0.554108216432866	4.10390232224084	3.4589418242758	Sporisorium reilianum	Sporisorium	Ustilaginales	Basidiomycota	Eukaryota
LsA2v1_scaffold7370	2348	0.385008517887564	36.1648211243609	34.6345826235091	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold6920	3025	0.542809917355372	6.61917355371899	6.7887603305785	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold2513	39025	0.366509592729721	26.1631005765547	26.080281870597	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
